form_id,form_name,form_type,department_id,form_code,version,status,required_fields,completion_time_minutes,digital_format,paper_format,multilingual_support,last_updated,created_by_employee_id,approval_required,retention_period_years,compliance_standards,usage_frequency_monthly,form_description
FORM-001,Patient Admission Form,Administrative,DEPT-001,PAF-2024,2.1,Active,"patient_name,dob,insurance,emergency_contact",15,Yes,Yes,English|Spanish,2024-01-15,EMP-001,Yes,7,HIPAA|Joint Commission,450,Standard patient admission documentation with insurance verification
FORM-002,Surgical Consent Form,Clinical,DEPT-005,SCF-2024,1.8,Active,"procedure_name,risks_explained,patient_signature,witness",25,Yes,Yes,English|Spanish|French,2024-02-20,EMP-008,Yes,10,HIPAA|FDA,85,Comprehensive surgical consent including risks and alternatives
FORM-003,Medication Administration Record,Clinical,DEPT-002,MAR-2024,3.2,Active,"medication_name,dosage,time,nurse_signature",5,Yes,No,English,2024-03-10,EMP-012,No,3,HIPAA|CMS,1200,Electronic medication tracking and administration documentation
FORM-004,Incident Report Form,Safety,DEPT-001,IRF-2024,2.0,Active,"incident_type,location,witnesses,corrective_action",20,Yes,Yes,English|Spanish,2024-01-30,EMP-003,Yes,5,Joint Commission|OSHA,75,Safety incident documentation and root cause analysis
FORM-005,Patient Discharge Summary,Clinical,DEPT-001,PDS-2024,1.5,Active,"diagnosis,treatment_summary,follow_up,medications",30,Yes,Yes,English|Spanish,2024-02-15,EMP-005,Yes,7,HIPAA|CMS,380,Comprehensive discharge planning and instructions
FORM-006,Blood Transfusion Consent,Clinical,DEPT-007,BTC-2024,2.3,Active,"blood_type,risks_discussed,alternatives,consent",20,Yes,Yes,English|Spanish|French,2024-01-25,EMP-015,Yes,10,FDA|AABB,45,Blood product transfusion consent with detailed risk disclosure
FORM-007,Radiology Order Form,Clinical,DEPT-009,ROF-2024,1.9,Active,"study_type,clinical_indication,contrast,physician",10,Yes,No,English,2024-03-05,EMP-018,No,5,HIPAA|ACR,520,Diagnostic imaging orders with clinical justification
FORM-008,Emergency Department Triage,Clinical,DEPT-001,EDT-2024,2.7,Active,"chief_complaint,vital_signs,pain_scale,acuity",8,Yes,No,English|Spanish,2024-02-28,EMP-020,No,3,HIPAA|Emergency Nurses Association,680,Rapid patient assessment and priority classification
FORM-009,Quality Assurance Report,Administrative,DEPT-016,QAR-2024,1.4,Active,"quality_metric,findings,recommendations,timeline",45,Yes,Yes,English,2024-01-20,EMP-025,Yes,7,Joint Commission|CMS,25,Quality improvement tracking and compliance monitoring
FORM-010,Patient Safety Checklist,Safety,DEPT-005,PSC-2024,3.1,Active,"pre_procedure,timeout,post_procedure,signatures",12,Yes,Yes,English,2024-03-15,EMP-008,Yes,5,Joint Commission|WHO,95,Universal surgical safety checklist implementation
FORM-011,Advance Directive Form,Legal,DEPT-001,ADF-2024,1.6,Active,"healthcare_proxy,life_support,comfort_care,witness",35,Yes,Yes,English|Spanish|French,2024-02-10,EMP-027,Yes,Permanent,HIPAA|State Law,120,Patient autonomy and end-of-life care preferences
FORM-012,Laboratory Requisition,Clinical,DEPT-010,LRF-2024,2.4,Active,"tests_ordered,specimen_type,clinical_info,physician",7,Yes,No,English,2024-03-20,EMP-030,No,3,HIPAA|CLIA,850,Laboratory test ordering with clinical correlation
FORM-013,Equipment Maintenance Log,Technical,DEPT-014,EML-2024,1.7,Active,"equipment_id,maintenance_type,technician,completion",15,Yes,Yes,English,2024-02-05,EMP-032,No,5,FDA|Joint Commission,180,Medical equipment preventive maintenance tracking
FORM-014,Infection Control Report,Safety,DEPT-011,ICR-2024,2.2,Active,"infection_type,isolation_precautions,duration,outcomes",25,Yes,Yes,English,2024-01-18,EMP-035,Yes,7,CDC|Joint Commission,60,Healthcare-associated infection surveillance and control
FORM-015,Patient Satisfaction Survey,Quality,DEPT-016,PSS-2024,1.3,Active,"service_rating,communication,cleanliness,recommend",10,Yes,Yes,English|Spanish,2024-03-08,EMP-038,No,2,HCAHPS|CMS,320,Patient experience measurement and improvement
FORM-016,Medical Records Request,Administrative,DEPT-017,MRR-2024,2.0,Active,"patient_authorization,records_requested,purpose,recipient",20,Yes,Yes,English|Spanish,2024-02-12,EMP-040,Yes,6,HIPAA|State Law,95,Protected health information release authorization
FORM-017,Employee Health Screening,HR,DEPT-018,EHS-2024,1.8,Active,"health_questions,vaccinations,exposures,clearance",15,Yes,Yes,English|Spanish,2024-01-22,EMP-042,No,7,OSHA|CDC,150,Healthcare worker health surveillance and fitness for duty
FORM-018,Research Consent Form,Research,DEPT-001,RCF-2024,2.5,Active,"study_purpose,risks_benefits,privacy,withdrawal",40,Yes,Yes,English|Spanish|French,2024-03-12,EMP-045,Yes,25,FDA|IRB,35,Clinical research participation informed consent
FORM-019,Pharmacy Consultation,Clinical,DEPT-013,PCF-2024,1.9,Active,"medication_review,interactions,counseling,signature",20,Yes,No,English|Spanish,2024-02-25,EMP-047,No,3,HIPAA|Board of Pharmacy,280,Pharmacist clinical consultation and medication therapy management
FORM-020,Risk Assessment Form,Safety,DEPT-016,RAF-2024,2.1,Active,"risk_factors,probability,impact,mitigation",30,Yes,Yes,English,2024-01-28,EMP-050,Yes,5,Joint Commission|ISO,40,Enterprise risk identification and management planning
