room_id,room_number,room_type,floor,building,wing,department_id,capacity,bed_count,current_occupancy,room_status,square_footage,daily_rate,special_features,isolation_capable,oxygen_supply,suction_available,nurse_call_system,bathroom_type,window_count,last_cleaned,next_maintenance,temperature_control,wifi_available,tv_available,phone_available,accessible_compliant,fire_safety_rating,renovation_date,assigned_staff,sterilization_required
R101,ER-101,Emergency Room,1,Main Hospital,North,001,1,1,1,Occupied,180,0,"Trauma bay cardiac monitor defibrillator",No,Yes,Yes,Yes,Shared,1,2024-03-18 08:00,2024-04-15,Individual,Yes,Yes,Yes,Yes,A,2022-06-15,EMP021,No
R102,ER-102,Emergency Room,1,Main Hospital,North,001,1,1,0,Available,180,0,"Trauma bay cardiac monitor IV pump",No,Yes,Yes,Yes,Shared,1,2024-03-18 10:00,2024-04-15,Individual,Yes,Yes,Yes,Yes,A,2022-06-15,EMP021,No
R103,ER-103,Emergency Room,1,Main Hospital,North,001,1,1,1,Occupied,180,0,"Pediatric emergency bay monitor",No,Yes,Yes,Yes,Shared,1,2024-03-18 12:00,2024-04-15,Individual,Yes,Yes,Yes,Yes,A,2022-06-15,EMP021,No
R201,Radiology Suite A,Imaging Room,1,Main Hospital,West,010,1,0,0,Operational,450,0,"MRI suite lead-lined shielded",No,No,No,No,Staff Only,0,2024-03-17 18:00,2024-04-20,Central,No,No,No,Yes,A,2022-06-10,EMP010,Yes
R202,Radiology Suite B,Imaging Room,1,Main Hospital,West,010,1,0,0,Operational,400,0,"CT suite lead-lined contrast injection",No,No,No,No,Staff Only,0,2024-03-17 20:00,2024-04-20,Central,No,No,No,Yes,A,2023-08-05,EMP010,Yes
R203,Radiology Room 3,Imaging Room,1,Main Hospital,West,010,1,0,0,Operational,220,0,"X-ray room lead-lined positioning aids",No,No,No,No,Staff Only,0,2024-03-18 06:00,2024-04-20,Central,No,No,No,Yes,A,2022-11-18,EMP010,Yes
R301,ICU-301,Intensive Care,3,Main Hospital,South,002,1,1,1,Occupied,250,3500,"Ventilator monitoring systems isolation",Yes,Yes,Yes,Yes,Private,1,2024-03-18 06:00,2024-04-10,Individual,Yes,Yes,Yes,Yes,A,2023-01-15,EMP022,Yes
R302,ICU-302,Intensive Care,3,Main Hospital,South,002,1,1,1,Occupied,250,3500,"ECMO capability monitoring isolation",Yes,Yes,Yes,Yes,Private,1,2024-03-18 08:00,2024-04-10,Individual,Yes,Yes,Yes,Yes,A,2023-01-15,EMP022,Yes
R303,ICU-303,Intensive Care,3,Main Hospital,South,002,1,1,0,Available,250,3500,"Full monitoring isolation capability",Yes,Yes,Yes,Yes,Private,1,2024-03-18 10:00,2024-04-10,Individual,Yes,Yes,Yes,Yes,A,2023-01-15,EMP022,Yes
R304,ICU-304,Intensive Care,3,Main Hospital,South,002,1,1,1,Occupied,250,3500,"Cardiac monitoring isolation ventilator",Yes,Yes,Yes,Yes,Private,1,2024-03-18 12:00,2024-04-10,Individual,Yes,Yes,Yes,Yes,A,2023-01-15,EMP022,Yes
