equipment_id,equipment_name,category,subcategory,manufacturer,model_number,serial_number,purchase_date,warranty_expiry,acquisition_cost,current_value,depreciation_rate,location,department_id,room_id,operational_status,last_maintenance_date,next_maintenance_date,maintenance_frequency,vendor_contact,vendor_phone,calibration_required,calibration_date,fda_approval_number,safety_inspection_date,usage_hours_total,usage_hours_monthly,energy_consumption_kwh,weight_kg,dimensions_lwh_cm,installation_date,training_required,certification_level,replacement_due_date
EQP001,Ventilator System,Life Support,Ventilation,Draeger,Evita V500,DRG2024001,2023-01-15,2028-01-15,85000,68000,0.2,ICU Room 301,002,R301,Operational,2024-02-15,2024-05-15,Quarterly,MedEquip Solutions,555-1001,Yes,2024-01-10,FDA510K123456,2024-01-20,8760,720,1.5,125,"80x60x150",2023-01-20,Yes,Level 3,2033-01-15
EQP002,Cardiac Monitor,Monitoring,Vital Signs,Philips,IntelliVue MX800,PHI2023045,2023-03-20,2028-03-20,25000,20000,0.2,Emergency Room 1,001,R101,Operational,2024-01-25,2024-04-25,Quarterly,Philips Healthcare,555-1002,Yes,2024-01-15,FDA510K789012,2024-02-01,6570,550,0.8,15,"35x30x25",2023-03-22,Yes,Level 2,2031-03-20
EQP003,MRI Machine,Imaging,Magnetic Resonance,Siemens,MAGNETOM Skyra,SIE2022078,2022-06-10,2027-06-10,2800000,2240000,0.2,Radiology Suite A,010,R201,Operational,2024-03-01,2024-06-01,Quarterly,Siemens Healthineers,555-1003,Yes,2024-02-20,FDA510K345678,2024-02-25,4380,365,45.0,6500,"260x250x200",2022-06-15,Yes,Level 4,2037-06-10
EQP004,CT Scanner,Imaging,Computed Tomography,GE Healthcare,Revolution CT,GEH2023112,2023-08-05,2028-08-05,1200000,960000,0.2,Radiology Suite B,010,R202,Operational,2024-02-10,2024-05-10,Quarterly,GE Healthcare,555-1004,Yes,2024-01-30,FDA510K567890,2024-02-15,3650,300,25.0,3200,"220x180x160",2023-08-08,Yes,Level 4,2035-08-05
EQP005,Ultrasound Machine,Imaging,Sonography,Mindray,DC-70,MIN2023087,2023-05-12,2028-05-12,120000,96000,0.2,OB-GYN Room 5,006,R605,Operational,2024-01-18,2024-04-18,Quarterly,Mindray Medical,555-1005,Yes,2024-01-12,FDA510K234567,2024-01-25,2920,240,0.6,85,"60x45x140",2023-05-15,Yes,Level 2,2031-05-12
EQP006,Anesthesia Machine,Surgical,Anesthesia,Draeger,Perseus A500,DRG2023156,2023-09-22,2028-09-22,95000,76000,0.2,OR Suite 3,009,R903,Operational,2024-02-28,2024-05-28,Quarterly,MedEquip Solutions,555-1001,Yes,2024-02-10,FDA510K345789,2024-02-20,1460,120,2.2,180,"100x70x160",2023-09-25,Yes,Level 3,2033-09-22
EQP007,X-Ray Machine,Imaging,Radiography,Philips,DigitalDiagnost C90,PHI2022134,2022-11-18,2027-11-18,180000,126000,0.3,Radiology Room 3,010,R203,Operational,2024-01-22,2024-04-22,Quarterly,Philips Healthcare,555-1002,Yes,2024-01-08,FDA510K456890,2024-01-30,5840,480,8.5,850,"150x120x180",2022-11-20,Yes,Level 3,2032-11-18
EQP008,Dialysis Machine,Treatment,Renal Care,Fresenius,4008S,FRE2023201,2023-07-14,2028-07-14,65000,52000,0.2,Dialysis Unit,016,R416,Operational,2024-02-05,2024-05-05,Monthly,Fresenius Medical,555-1006,Yes,2024-01-20,FDA510K678901,2024-02-08,2190,180,3.5,120,"80x60x140",2023-07-17,Yes,Level 2,2031-07-14
EQP009,Defibrillator,Emergency,Resuscitation,Zoll,X Series,ZOL2023098,2023-04-08,2028-04-08,28000,22400,0.2,Emergency Room 2,001,R102,Operational,2024-03-05,2024-06-05,Quarterly,Zoll Medical,555-1007,Yes,2024-02-25,FDA510K789012,2024-03-01,1095,90,0.3,8,"30x25x15",2023-04-10,Yes,Level 2,2031-04-08
EQP010,Infusion Pump,Medication,IV Therapy,Baxter,Sigma Spectrum,BAX2023145,2023-06-25,2028-06-25,8500,6800,0.2,ICU Room 302,002,R302,Operational,2024-01-15,2024-04-15,Quarterly,Baxter Healthcare,555-1008,Yes,2024-01-05,FDA510K890123,2024-01-18,4380,365,0.1,3,"25x20x30",2023-06-28,No,Level 1,2029-06-25
