form_id,form_name,form_type,department_id,form_code,version,status,required_fields,completion_time_minutes,digital_format,paper_format,multilingual_support,last_updated,created_by_employee_id,approval_required,retention_period_years,compliance_standards,usage_frequency_monthly,form_description
FORM-001,Student Admission Application,Administrative,Multiple,SAA-2024,3.2,Active,"personal_info,transcripts,test_scores,essays",45,Yes,Yes,English|Spanish|Chinese,2024-01-15,FAC-001,Yes,7,FERPA|State Education,850,Comprehensive undergraduate admission application
FORM-002,Course Registration Form,Academic,Multiple,CRF-2024,2.8,Active,"student_id,course_selections,advisor_signature",15,Yes,No,English|Spanish,2024-02-20,FAC-005,Yes,3,FERPA|Registrar,2400,Semester course enrollment and scheduling
FORM-003,Grade Change Request,Academic,Multiple,GCR-2024,1.5,Active,"student_info,course_details,reason,instructor_signature",10,Yes,Yes,English,2024-03-10,FAC-008,Yes,5,FERPA|Academic Standards,125,Official grade modification request
FORM-004,Research Proposal,Research,Multiple,RPF-2024,2.1,Active,"project_title,methodology,budget,IRB_requirements",60,Yes,Yes,English,2024-01-30,FAC-012,Yes,10,IRB|Grant Compliance,85,Comprehensive research project proposal
FORM-005,Withdrawal Request,Academic,Multiple,WRF-2024,1.9,Active,"student_info,reason,financial_implications,advisor_meeting",20,Yes,Yes,English|Spanish,2024-02-15,FAC-003,Yes,7,FERPA|Financial Aid,180,Official course or university withdrawal
FORM-006,Scholarship Application,Financial,Multiple,SFA-2024,2.4,Active,"academic_record,financial_need,essays,recommendations",40,Yes,Yes,English|Spanish,2024-01-25,FAC-015,Yes,5,FERPA|Financial Aid,520,Merit and need-based scholarship application
FORM-007,Transcript Request,Administrative,Multiple,TRF-2024,1.7,Active,"student_authorization,delivery_method,recipient_info",8,Yes,Yes,English|Spanish|Chinese,2024-03-05,FAC-020,No,3,FERPA|Privacy,680,Official academic transcript request
FORM-008,Internship Registration,Academic,Multiple,IRF-2024,2.2,Active,"company_info,learning_objectives,supervision_plan",25,Yes,Yes,English,2024-02-28,FAC-018,Yes,5,FERPA|Industry Standards,320,Experiential learning internship registration
FORM-009,Incident Report,Safety,Multiple,SIR-2024,1.8,Active,"incident_type,location,witnesses,corrective_action",15,Yes,Yes,English|Spanish,2024-01-20,FAC-025,Yes,7,Campus Safety|Title IX,45,Campus safety incident documentation
FORM-010,Thesis Proposal,Academic,Multiple,TPF-2024,2.6,Active,"research_topic,committee_members,timeline,resources",90,Yes,Yes,English,2024-03-15,FAC-030,Yes,Permanent,Graduate School Standards,95,Graduate thesis or dissertation proposal
