project_id,project_title,project_code,department_id,principal_investigator,co_investigators,funding_agency,grant_amount,start_date,end_date,project_status,research_area,methodology,equipment_required,participants_needed,IRB_approval,publication_count,conference_presentations,student_researchers,budget_spent,overhead_rate,collaboration_type,expected_outcomes,deliverables,risk_level,compliance_requirements
RES001,Machine Learning for Healthcare,ML-2024-001,DEPT001,FAC001,"FAC021, FAC002",NSF,285000,2024-01-15,2026-01-14,Active,Artificial Intelligence,Experimental,GPU Cluster,50,Yes,3,2,5,125000,0.25,Industry Partnership,AI Healthcare System,Software Publication,Medium,IRB FDA
RES002,Molecular Biology of Cancer,BIO-2024-002,DEPT002,FAC002,"FAC022, FAC007",NIH,450000,2023-08-01,2025-07-31,Active,Cancer Research,Laboratory,Spectrophotometer,200,Yes,8,6,12,285000,0.28,Multi-institutional,Novel Therapeutics,Research Papers,High,IRB NIH
RES003,Sustainable Energy Systems,ENG-2024-003,DEPT006,FAC006,"FAC026, FAC009",DOE,380000,2024-03-01,2026-02-28,Active,Renewable Energy,Computational,Wind Tunnel,0,No,5,4,8,165000,0.22,Government Lab,Energy Efficiency,Prototypes,Medium,EPA DOE
RES004,Educational Technology Impact,EDU-2024-004,DEPT016,FAC016,"FAC025, FAC005",Dept of Education,195000,2023-09-15,2025-09-14,Active,Educational Research,Mixed Methods,Survey Platform,500,Yes,2,3,6,98000,0.15,School District,Learning Outcomes,Curriculum Guide,Low,IRB FERPA
RES005,Climate Change Modeling,ENV-2024-005,DEPT020,FAC020,"FAC009, FAC003",NOAA,320000,2024-01-01,2025-12-31,Active,Environmental Science,Computational,Supercomputer,0,No,6,5,10,145000,0.20,Federal Agency,Climate Predictions,Model Software,Medium,EPA NOAA
RES006,Quantum Computing Applications,PHY-2024-006,DEPT009,FAC009,"FAC029, FAC001",IBM,275000,2023-11-01,2025-10-31,Active,Quantum Physics,Theoretical,Quantum Computer,0,No,4,3,7,158000,0.18,Industry Partnership,Quantum Algorithms,Research Papers,High,Export Control
RES007,Social Media Psychology,PSY-2024-007,DEPT005,FAC005,"FAC025, FAC014",Private Foundation,125000,2024-02-01,2025-01-31,Active,Social Psychology,Survey Research,Data Analytics,1000,Yes,1,2,4,52000,0.12,University Partners,Behavior Analysis,Research Report,Low,IRB Privacy
RES008,Historical Archives Digitization,HIST-2024-008,DEPT010,FAC010,"FAC030, FAC011",NEH,185000,2023-07-01,2025-06-30,Active,Digital Humanities,Archival,Scanners,5,No,0,1,3,95000,0.15,Library Partnership,Digital Archive,Online Database,Low,Copyright IP
RES009,Biomedical Device Development,ENG-2024-009,DEPT015,FAC015,"FAC026, FAC002",NIH,425000,2024-04-01,2026-03-31,Active,Biomedical Engineering,Prototype,3D Printer,100,Yes,2,1,8,185000,0.25,Medical Center,Medical Device,FDA Submission,High,FDA IRB
RES010,Economic Policy Analysis,ECON-2024-010,DEPT014,FAC014,"FAC013, FAC004",Treasury Dept,225000,2023-12-01,2025-11-30,Active,Economic Research,Econometric,Statistical Software,0,No,3,4,5,118000,0.16,Government Agency,Policy Recommendations,Policy Brief,Medium,Confidentiality
RES011,Neuroscience of Learning,PSY-2024-011,DEPT005,FAC005,"FAC015, FAC022",NIH,350000,2024-05-01,2026-04-30,Active,Neuroscience,Experimental,fMRI Scanner,80,Yes,1,0,6,145000,0.22,Medical School,Brain Function Map,Research Papers,High,IRB Human Subjects
RES012,Renewable Materials,CHEM-2024-012,DEPT007,FAC007,"FAC027, FAC020",NSF,295000,2023-10-01,2025-09-30,Active,Green Chemistry,Laboratory,NMR Spectrometer,0,No,4,3,9,165000,0.20,Industry Partner,Sustainable Materials,Patent Application,Medium,Environmental
RES013,Literary Digital Analysis,ENG-2024-013,DEPT008,FAC008,"FAC028, FAC010",NEH,145000,2024-01-15,2025-12-31,Active,Digital Literature,Computational,Text Analytics,0,No,2,2,4,68000,0.14,Library Consortium,Literary Database,Online Platform,Low,Copyright
RES014,Urban Planning Technology,ENG-2024-014,DEPT006,FAC006,"FAC020, FAC014",City Government,165000,2023-08-15,2025-08-14,Active,Urban Engineering,GIS Analysis,Mapping Software,20,Yes,1,1,5,85000,0.12,City Partnership,Urban Model,Planning Tool,Low,Municipal Code
RES015,Pharmaceutical Chemistry,CHEM-2024-015,DEPT007,FAC007,"FAC027, FAC015",Pharma Corp,385000,2024-02-01,2026-01-31,Active,Drug Development,Synthesis,Chemical Hood,0,No,3,2,11,195000,0.22,Industry Partner,Drug Compounds,Patent Filing,High,FDA IP
